country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
United States,2008,3.83910029665101,1.94513170334587,3.08241133651995,,5.0875,5.78000020980835,5.78000020980835
United States,2009,-0.35554626629975,0.762349988423779,2.46882889478265,,3.25,9.25,9.25
United States,2010,1.64004344238989,1.16525054364868,2.06073671062756,,3.25,9.63000011444092,9.63000011444092
United States,2011,3.15684156862206,2.08890377766842,1.1373383192166,,3.25,8.94999980926514,8.94999980926514
United States,2012,2.06933726526059,1.91784900670304,1.30708311280131,,3.25,8.06999969482422,8.06999969482422
United States,2013,1.46483265562714,1.75491578501162,1.46929925051209,,3.25,7.36999988555908,7.36999988555908
United States,2014,1.62222297740821,1.84982747081428,1.37474217085635,,3.25,6.17000007629395,6.17000007629395
United States,2015,0.118627135552435,0.952531532798019,2.28569648741529,,3.26,5.28000020980835,5.28000020980835
United States,2016,1.26158320570537,1.04924737000228,2.43685070473409,,3.51166666666667,4.86999988555908,4.86999988555908
United States,2017,2.13011000365963,1.88006787244998,2.17569426533145,,4.09666666666667,4.3600001335144,4.3600001335144
United States,2018,2.44258329692818,2.40098111411591,2.44449371999786,,4.90416666666667,3.90000009536743,3.90000009536743
United States,2019,1.81221007526015,1.78515153743628,3.43601046885253,,5.2825,3.67000007629395,3.67000007629395
United States,2020,1.23358439630637,1.20520169603763,2.31111141663839,,3.54416666666667,8.05000019073486,8.05000019073486
United States,2021,4.69785886363739,,,,3.25,5.34999990463257,5.46400022506714
